,O*NET-SOC Code,Element Name,Data Value
1155,11-3051.00,Originality,3.88
795,11-3051.00,Persuasion,3.75
791,11-3051.00,Social Perceptiveness,3.75
1040,11-3051.01,Assisting and Caring for Others,1.86
4206,11-3051.01,"Cramped Work Space, Awkward Positions",1.74
843,11-3051.01,Fine Arts,0.0
1295,11-3051.01,Finger Dexterity,3.0
1293,11-3051.01,Manual Dexterity,2.75
867,11-3051.01,Negotiation,3.25
1259,11-3051.01,Originality,3.38
865,11-3051.01,Persuasion,3.25
861,11-3051.01,Social Perceptiveness,3.75
1122,11-3051.02,Assisting and Caring for Others,3.15
4544,11-3051.02,"Cramped Work Space, Awkward Positions",1.62
909,11-3051.02,Fine Arts,0.24
1399,11-3051.02,Finger Dexterity,2.75
1397,11-3051.02,Manual Dexterity,2.12
937,11-3051.02,Negotiation,3.38
1363,11-3051.02,Originality,3.25
935,11-3051.02,Persuasion,3.38
931,11-3051.02,Social Perceptiveness,3.62
1204,11-3051.03,Assisting and Caring for Others,2.37
4882,11-3051.03,"Cramped Work Space, Awkward Positions",2.6
975,11-3051.03,Fine Arts,0.03
1503,11-3051.03,Finger Dexterity,1.88
1501,11-3051.03,Manual Dexterity,2.0
1007,11-3051.03,Negotiation,3.25
1467,11-3051.03,Originality,3.5
1005,11-3051.03,Persuasion,3.38
1001,11-3051.03,Social Perceptiveness,3.75
1286,11-3051.04,Assisting and Caring for Others,2.71
5220,11-3051.04,"Cramped Work Space, Awkward Positions",2.14
1041,11-3051.04,Fine Arts,0.03
1607,11-3051.04,Finger Dexterity,2.62
1605,11-3051.04,Manual Dexterity,2.25
1077,11-3051.04,Negotiation,3.12
1571,11-3051.04,Originality,3.5
1075,11-3051.04,Persuasion,3.5
1071,11-3051.04,Social Perceptiveness,3.75
1368,11-3051.06,Assisting and Caring for Others,2.87
5558,11-3051.06,"Cramped Work Space, Awkward Positions",2.4
1107,11-3051.06,Fine Arts,0.03
1711,11-3051.06,Finger Dexterity,2.5
1709,11-3051.06,Manual Dexterity,2.5
1147,11-3051.06,Negotiation,3.62
1675,11-3051.06,Originality,3.25
1145,11-3051.06,Persuasion,3.5
1141,11-3051.06,Social Perceptiveness,3.62
1450,11-3061.00,Assisting and Caring for Others,2.63
5896,11-3061.00,"Cramped Work Space, Awkward Positions",1.14
1173,11-3061.00,Fine Arts,0.38
1815,11-3061.00,Finger Dexterity,1.0
1813,11-3061.00,Manual Dexterity,0.0
1217,11-3061.00,Negotiation,3.88
1779,11-3061.00,Originality,3.75
1215,11-3061.00,Persuasion,3.88
1211,11-3061.00,Social Perceptiveness,4.0
1532,11-3071.01,Assisting and Caring for Others,2.89
6234,11-3071.01,"Cramped Work Space, Awkward Positions",1.34
1239,11-3071.01,Fine Arts,0.09
1919,11-3071.01,Finger Dexterity,1.75
1917,11-3071.01,Manual Dexterity,0.75
1287,11-3071.01,Negotiation,3.75
1883,11-3071.01,Originality,3.5
1285,11-3071.01,Persuasion,3.75
1281,11-3071.01,Social Perceptiveness,3.88
1614,11-3071.02,Assisting and Caring for Others,2.75
6572,11-3071.02,"Cramped Work Space, Awkward Positions",1.75
1305,11-3071.02,Fine Arts,0.87
2023,11-3071.02,Finger Dexterity,2.0
2021,11-3071.02,Manual Dexterity,1.88
1357,11-3071.02,Negotiation,3.25
1987,11-3071.02,Originality,3.12
1355,11-3071.02,Persuasion,3.38
1351,11-3071.02,Social Perceptiveness,3.62
1696,11-3071.03,Assisting and Caring for Others,2.53
6910,11-3071.03,"Cramped Work Space, Awkward Positions",1.4
1371,11-3071.03,Fine Arts,0.33
2127,11-3071.03,Finger Dexterity,1.5
2125,11-3071.03,Manual Dexterity,0.75
1427,11-3071.03,Negotiation,3.75
2091,11-3071.03,Originality,3.38
1425,11-3071.03,Persuasion,3.62
1421,11-3071.03,Social Perceptiveness,3.5
1778,11-3111.00,Assisting and Caring for Others,2.81
7248,11-3111.00,"Cramped Work Space, Awkward Positions",1.0
1437,11-3111.00,Fine Arts,0.0
2231,11-3111.00,Finger Dexterity,1.12
2229,11-3111.00,Manual Dexterity,0.38
1497,11-3111.00,Negotiation,3.12
2195,11-3111.00,Originality,3.12
1495,11-3111.00,Persuasion,3.25
1491,11-3111.00,Social Perceptiveness,3.62
1860,11-3121.00,Assisting and Caring for Others,3.33
7586,11-3121.00,"Cramped Work Space, Awkward Positions",1.08
1503,11-3121.00,Fine Arts,0.29
2335,11-3121.00,Finger Dexterity,1.88
2333,11-3121.00,Manual Dexterity,0.38
1567,11-3121.00,Negotiation,4.0
2299,11-3121.00,Originality,3.88
1565,11-3121.00,Persuasion,4.0
1561,11-3121.00,Social Perceptiveness,4.0
1942,11-3131.00,Assisting and Caring for Others,2.85
7924,11-3131.00,"Cramped Work Space, Awkward Positions",1.26
1569,11-3131.00,Fine Arts,0.44
2439,11-3131.00,Finger Dexterity,1.5
2437,11-3131.00,Manual Dexterity,0.75
1637,11-3131.00,Negotiation,3.25
2403,11-3131.00,Originality,4.0
1635,11-3131.00,Persuasion,3.88
1631,11-3131.00,Social Perceptiveness,4.0
2024,11-9013.01,Assisting and Caring for Others,3.09
8262,11-9013.01,"Cramped Work Space, Awkward Positions",2.13
1635,11-9013.01,Fine Arts,0.13
2543,11-9013.01,Finger Dexterity,2.63
2541,11-9013.01,Manual Dexterity,2.63
1707,11-9013.01,Negotiation,3.12
2507,11-9013.01,Originality,3.38
1705,11-9013.01,Persuasion,3.25
1701,11-9013.01,Social Perceptiveness,3.38
2106,11-9013.02,Assisting and Caring for Others,2.6
8600,11-9013.02,"Cramped Work Space, Awkward Positions",2.31
1701,11-9013.02,Fine Arts,0.03
2647,11-9013.02,Finger Dexterity,2.75
2645,11-9013.02,Manual Dexterity,2.75
1777,11-9013.02,Negotiation,3.75
2611,11-9013.02,Originality,3.38
1775,11-9013.02,Persuasion,3.62
1771,11-9013.02,Social Perceptiveness,3.25
2188,11-9013.03,Assisting and Caring for Others,2.42
8938,11-9013.03,"Cramped Work Space, Awkward Positions",2.3
1767,11-9013.03,Fine Arts,0.5
2751,11-9013.03,Finger Dexterity,3.0
2749,11-9013.03,Manual Dexterity,2.88
1847,11-9013.03,Negotiation,3.25
2715,11-9013.03,Originality,3.25
1845,11-9013.03,Persuasion,3.25
1841,11-9013.03,Social Perceptiveness,3.5
2270,11-9021.00,Assisting and Caring for Others,2.24
9276,11-9021.00,"Cramped Work Space, Awkward Positions",1.84
1833,11-9021.00,Fine Arts,0.28
2855,11-9021.00,Finger Dexterity,2.25
2853,11-9021.00,Manual Dexterity,0.25
1917,11-9021.00,Negotiation,4.0
2819,11-9021.00,Originality,3.5
1915,11-9021.00,Persuasion,3.88
1911,11-9021.00,Social Perceptiveness,3.88
2352,11-9031.00,Assisting and Caring for Others,4.28
9614,11-9031.00,"Cramped Work Space, Awkward Positions",1.15
1899,11-9031.00,Fine Arts,2.26
2959,11-9031.00,Finger Dexterity,1.75
2957,11-9031.00,Manual Dexterity,1.0
1987,11-9031.00,Negotiation,3.62
2923,11-9031.00,Originality,3.5
1985,11-9031.00,Persuasion,3.5
1981,11-9031.00,Social Perceptiveness,3.88
2434,11-9032.00,Assisting and Caring for Others,4.1
9952,11-9032.00,"Cramped Work Space, Awkward Positions",1.24
1965,11-9032.00,Fine Arts,1.96
3063,11-9032.00,Finger Dexterity,1.38
3061,11-9032.00,Manual Dexterity,0.12
2057,11-9032.00,Negotiation,3.88
3027,11-9032.00,Originality,4.0
2055,11-9032.00,Persuasion,4.0
2051,11-9032.00,Social Perceptiveness,4.25
2516,11-9033.00,Assisting and Caring for Others,2.78
10290,11-9033.00,"Cramped Work Space, Awkward Positions",1.01
2031,11-9033.00,Fine Arts,0.96
3167,11-9033.00,Finger Dexterity,1.12
3165,11-9033.00,Manual Dexterity,0.0
2127,11-9033.00,Negotiation,3.75
3131,11-9033.00,Originality,4.0
2125,11-9033.00,Persuasion,3.75
2121,11-9033.00,Social Perceptiveness,4.0
2598,11-9039.01,Assisting and Caring for Others,2.68
10628,11-9039.01,"Cramped Work Space, Awkward Positions",1.23
2097,11-9039.01,Fine Arts,1.0
3271,11-9039.01,Finger Dexterity,2.12
3269,11-9039.01,Manual Dexterity,0.75
2197,11-9039.01,Negotiation,3.62
3235,11-9039.01,Originality,3.62
2195,11-9039.01,Persuasion,3.62
2191,11-9039.01,Social Perceptiveness,3.75
2680,11-9039.02,Assisting and Caring for Others,3.75
10966,11-9039.02,"Cramped Work Space, Awkward Positions",1.42
2163,11-9039.02,Fine Arts,1.04
3375,11-9039.02,Finger Dexterity,2.0
3373,11-9039.02,Manual Dexterity,2.0
2267,11-9039.02,Negotiation,3.38
3339,11-9039.02,Originality,3.75
2265,11-9039.02,Persuasion,3.75
2261,11-9039.02,Social Perceptiveness,3.75
2762,11-9041.00,Assisting and Caring for Others,1.98
11304,11-9041.00,"Cramped Work Space, Awkward Positions",1.28
2229,11-9041.00,Fine Arts,0.77
3479,11-9041.00,Finger Dexterity,2.5
3477,11-9041.00,Manual Dexterity,1.62
2337,11-9041.00,Negotiation,4.0
3443,11-9041.00,Originality,4.12
2335,11-9041.00,Persuasion,3.88
2331,11-9041.00,Social Perceptiveness,3.75
2844,11-9041.01,Assisting and Caring for Others,2.57
11642,11-9041.01,"Cramped Work Space, Awkward Positions",1.96
2295,11-9041.01,Fine Arts,0.04
3583,11-9041.01,Finger Dexterity,3.0
3581,11-9041.01,Manual Dexterity,2.5
2407,11-9041.01,Negotiation,3.38
3547,11-9041.01,Originality,4.12
2405,11-9041.01,Persuasion,3.38
2401,11-9041.01,Social Perceptiveness,3.12
2926,11-9051.00,Assisting and Caring for Others,2.98
11980,11-9051.00,"Cramped Work Space, Awkward Positions",2.14
2361,11-9051.00,Fine Arts,0.43
3687,11-9051.00,Finger Dexterity,2.88
3685,11-9051.00,Manual Dexterity,2.88
2477,11-9051.00,Negotiation,3.5
3651,11-9051.00,Originality,3.0
2475,11-9051.00,Persuasion,3.12
2471,11-9051.00,Social Perceptiveness,3.75
3008,11-9061.00,Assisting and Caring for Others,4.67
12318,11-9061.00,"Cramped Work Space, Awkward Positions",1.21
2427,11-9061.00,Fine Arts,0.27
3791,11-9061.00,Finger Dexterity,2.38
3789,11-9061.00,Manual Dexterity,1.88
2547,11-9061.00,Negotiation,3.38
3755,11-9061.00,Originality,2.62
2545,11-9061.00,Persuasion,3.62
2541,11-9061.00,Social Perceptiveness,3.62
3090,11-9071.00,Assisting and Caring for Others,2.79
12656,11-9071.00,"Cramped Work Space, Awkward Positions",1.49
2493,11-9071.00,Fine Arts,0.44
3895,11-9071.00,Finger Dexterity,2.12
3893,11-9071.00,Manual Dexterity,1.0
2617,11-9071.00,Negotiation,3.5
3859,11-9071.00,Originality,3.0
2615,11-9071.00,Persuasion,3.75
2611,11-9071.00,Social Perceptiveness,3.75
3172,11-9081.00,Assisting and Caring for Others,3.72
12994,11-9081.00,"Cramped Work Space, Awkward Positions",1.19
2559,11-9081.00,Fine Arts,1.02
3999,11-9081.00,Finger Dexterity,1.88
3997,11-9081.00,Manual Dexterity,1.75
2687,11-9081.00,Negotiation,4.0
3963,11-9081.00,Originality,3.62
2685,11-9081.00,Persuasion,4.0
2681,11-9081.00,Social Perceptiveness,3.88
3254,11-9111.00,Assisting and Caring for Others,2.92
13332,11-9111.00,"Cramped Work Space, Awkward Positions",1.35
2625,11-9111.00,Fine Arts,0.19
4103,11-9111.00,Finger Dexterity,1.38
4101,11-9111.00,Manual Dexterity,0.75
2757,11-9111.00,Negotiation,3.38
4067,11-9111.00,Originality,3.5
2755,11-9111.00,Persuasion,3.5
2751,11-9111.00,Social Perceptiveness,4.0
3336,11-9121.00,Assisting and Caring for Others,2.55
13670,11-9121.00,"Cramped Work Space, Awkward Positions",1.43
2691,11-9121.00,Fine Arts,0.13
4207,11-9121.00,Finger Dexterity,2.12
4205,11-9121.00,Manual Dexterity,0.0
2827,11-9121.00,Negotiation,3.25
4171,11-9121.00,Originality,4.12
2825,11-9121.00,Persuasion,3.62
2821,11-9121.00,Social Perceptiveness,3.88
3418,11-9121.01,Assisting and Caring for Others,3.83
14008,11-9121.01,"Cramped Work Space, Awkward Positions",1.37
2757,11-9121.01,Fine Arts,0.01
4311,11-9121.01,Finger Dexterity,2.38
4309,11-9121.01,Manual Dexterity,0.0
2897,11-9121.01,Negotiation,3.5
4275,11-9121.01,Originality,3.38
2895,11-9121.01,Persuasion,3.38
2891,11-9121.01,Social Perceptiveness,3.88
3500,11-9121.02,Assisting and Caring for Others,2.48
14346,11-9121.02,"Cramped Work Space, Awkward Positions",1.64
2823,11-9121.02,Fine Arts,0.24
4415,11-9121.02,Finger Dexterity,2.38
4413,11-9121.02,Manual Dexterity,0.0
2967,11-9121.02,Negotiation,3.12
4379,11-9121.02,Originality,3.38
2965,11-9121.02,Persuasion,3.5
2961,11-9121.02,Social Perceptiveness,3.5
3582,11-9131.00,Assisting and Caring for Others,2.95
14684,11-9131.00,"Cramped Work Space, Awkward Positions",1.25
2889,11-9131.00,Fine Arts,0.15
4519,11-9131.00,Finger Dexterity,1.62
4517,11-9131.00,Manual Dexterity,0.0
3037,11-9131.00,Negotiation,3.25
4483,11-9131.00,Originality,3.0
3035,11-9131.00,Persuasion,3.5
3031,11-9131.00,Social Perceptiveness,3.5
3664,11-9141.00,Assisting and Caring for Others,2.46
15022,11-9141.00,"Cramped Work Space, Awkward Positions",1.5
2955,11-9141.00,Fine Arts,0.04
4623,11-9141.00,Finger Dexterity,1.25
4621,11-9141.00,Manual Dexterity,0.12
3107,11-9141.00,Negotiation,3.75
4587,11-9141.00,Originality,3.0
3105,11-9141.00,Persuasion,3.5
3101,11-9141.00,Social Perceptiveness,3.38
3746,11-9151.00,Assisting and Caring for Others,4.01
15360,11-9151.00,"Cramped Work Space, Awkward Positions",1.09
3021,11-9151.00,Fine Arts,0.79
4727,11-9151.00,Finger Dexterity,1.88
4725,11-9151.00,Manual Dexterity,0.62
3177,11-9151.00,Negotiation,3.75
4691,11-9151.00,Originality,3.75
3175,11-9151.00,Persuasion,3.75
3171,11-9151.00,Social Perceptiveness,4.62
3828,11-9161.00,Assisting and Caring for Others,3.21
15698,11-9161.00,"Cramped Work Space, Awkward Positions",1.6
3087,11-9161.00,Fine Arts,0.48
4831,11-9161.00,Finger Dexterity,1.12
4829,11-9161.00,Manual Dexterity,0.88
3247,11-9161.00,Negotiation,3.5
4795,11-9161.00,Originality,3.88
3245,11-9161.00,Persuasion,3.88
3241,11-9161.00,Social Perceptiveness,3.88
3910,11-9199.01,Assisting and Caring for Others,2.3
16036,11-9199.01,"Cramped Work Space, Awkward Positions",1.31
3153,11-9199.01,Fine Arts,0.15
4935,11-9199.01,Finger Dexterity,1.75
4933,11-9199.01,Manual Dexterity,0.0
3317,11-9199.01,Negotiation,3.5
4899,11-9199.01,Originality,3.38
3315,11-9199.01,Persuasion,3.25
3311,11-9199.01,Social Perceptiveness,3.62
3992,11-9199.02,Assisting and Caring for Others,2.7
16374,11-9199.02,"Cramped Work Space, Awkward Positions",1.58
3219,11-9199.02,Fine Arts,0.0
5039,11-9199.02,Finger Dexterity,2.0
5037,11-9199.02,Manual Dexterity,0.75
3387,11-9199.02,Negotiation,3.25
5003,11-9199.02,Originality,3.0
3385,11-9199.02,Persuasion,3.88
3381,11-9199.02,Social Perceptiveness,3.75
4074,11-9199.03,Assisting and Caring for Others,1.82
16712,11-9199.03,"Cramped Work Space, Awkward Positions",1.11
3285,11-9199.03,Fine Arts,0.39
5143,11-9199.03,Finger Dexterity,1.88
5141,11-9199.03,Manual Dexterity,0.0
3457,11-9199.03,Negotiation,3.5
5107,11-9199.03,Originality,3.5
3455,11-9199.03,Persuasion,3.5
3451,11-9199.03,Social Perceptiveness,3.38
4156,11-9199.04,Assisting and Caring for Others,2.24
17050,11-9199.04,"Cramped Work Space, Awkward Positions",1.33
3351,11-9199.04,Fine Arts,0.24
5247,11-9199.04,Finger Dexterity,1.38
5245,11-9199.04,Manual Dexterity,0.0
3527,11-9199.04,Negotiation,3.75
5211,11-9199.04,Originality,3.25
3525,11-9199.04,Persuasion,3.62
3521,11-9199.04,Social Perceptiveness,3.88
4238,11-9199.07,Assisting and Caring for Others,3.2
17388,11-9199.07,"Cramped Work Space, Awkward Positions",1.8
3417,11-9199.07,Fine Arts,0.3
5351,11-9199.07,Finger Dexterity,2.25
5349,11-9199.07,Manual Dexterity,1.88
3597,11-9199.07,Negotiation,3.12
5315,11-9199.07,Originality,3.62
3595,11-9199.07,Persuasion,3.62
3591,11-9199.07,Social Perceptiveness,3.75
4320,11-9199.08,Assisting and Caring for Others,2.96
17726,11-9199.08,"Cramped Work Space, Awkward Positions",1.96
3483,11-9199.08,Fine Arts,0.32
5455,11-9199.08,Finger Dexterity,2.62
5453,11-9199.08,Manual Dexterity,1.62
3667,11-9199.08,Negotiation,3.38
5419,11-9199.08,Originality,3.5
3665,11-9199.08,Persuasion,3.75
3661,11-9199.08,Social Perceptiveness,3.75
4402,11-9199.09,Assisting and Caring for Others,2.55
18064,11-9199.09,"Cramped Work Space, Awkward Positions",2.85
3549,11-9199.09,Fine Arts,0.0
5559,11-9199.09,Finger Dexterity,1.88
5557,11-9199.09,Manual Dexterity,1.75
3737,11-9199.09,Negotiation,3.62
5523,11-9199.09,Originality,3.38
3735,11-9199.09,Persuasion,3.62
3731,11-9199.09,Social Perceptiveness,3.88
4484,11-9199.10,Assisting and Caring for Others,1.97
18402,11-9199.10,"Cramped Work Space, Awkward Positions",1.16
3615,11-9199.10,Fine Arts,0.36
5663,11-9199.10,Finger Dexterity,0.88
5661,11-9199.10,Manual Dexterity,0.5
3807,11-9199.10,Negotiation,3.75
5627,11-9199.10,Originality,3.25
3805,11-9199.10,Persuasion,3.75
3801,11-9199.10,Social Perceptiveness,3.62
4566,11-9199.11,Assisting and Caring for Others,2.16
18740,11-9199.11,"Cramped Work Space, Awkward Positions",1.68
3681,11-9199.11,Fine Arts,0.16
5767,11-9199.11,Finger Dexterity,2.25
5765,11-9199.11,Manual Dexterity,0.0
3877,11-9199.11,Negotiation,3.75
5731,11-9199.11,Originality,3.62
3875,11-9199.11,Persuasion,3.62
3871,11-9199.11,Social Perceptiveness,3.12
4648,13-1011.00,Assisting and Caring for Others,2.9
19078,13-1011.00,"Cramped Work Space, Awkward Positions",1.01
3747,13-1011.00,Fine Arts,3.75
5871,13-1011.00,Finger Dexterity,1.88
5869,13-1011.00,Manual Dexterity,1.0
3947,13-1011.00,Negotiation,4.0
5835,13-1011.00,Originality,3.25
3945,13-1011.00,Persuasion,4.12
3941,13-1011.00,Social Perceptiveness,3.25
4730,13-1021.00,Assisting and Caring for Others,2.29
19416,13-1021.00,"Cramped Work Space, Awkward Positions",1.25
3813,13-1021.00,Fine Arts,0.39
5975,13-1021.00,Finger Dexterity,2.0
5973,13-1021.00,Manual Dexterity,1.38
4017,13-1021.00,Negotiation,3.62
5939,13-1021.00,Originality,3.0
4015,13-1021.00,Persuasion,3.75
4011,13-1021.00,Social Perceptiveness,3.12
4812,13-1022.00,Assisting and Caring for Others,2.56
19754,13-1022.00,"Cramped Work Space, Awkward Positions",1.6
3879,13-1022.00,Fine Arts,0.03
6079,13-1022.00,Finger Dexterity,2.0
6077,13-1022.00,Manual Dexterity,1.5
4087,13-1022.00,Negotiation,4.0
6043,13-1022.00,Originality,3.12
4085,13-1022.00,Persuasion,4.0
4081,13-1022.00,Social Perceptiveness,3.5
4894,13-1023.00,Assisting and Caring for Others,2.1
20092,13-1023.00,"Cramped Work Space, Awkward Positions",1.43
3945,13-1023.00,Fine Arts,0.8
6183,13-1023.00,Finger Dexterity,1.25
6181,13-1023.00,Manual Dexterity,0.88
4157,13-1023.00,Negotiation,3.88
6147,13-1023.00,Originality,3.0
4155,13-1023.00,Persuasion,3.88
4151,13-1023.00,Social Perceptiveness,3.62
4976,13-1031.01,Assisting and Caring for Others,2.6
20430,13-1031.01,"Cramped Work Space, Awkward Positions",1.27
4011,13-1031.01,Fine Arts,0.11
6287,13-1031.01,Finger Dexterity,2.25
6285,13-1031.01,Manual Dexterity,1.12
4227,13-1031.01,Negotiation,3.62
6251,13-1031.01,Originality,2.75
4225,13-1031.01,Persuasion,3.38
4221,13-1031.01,Social Perceptiveness,3.38
5058,13-1031.02,Assisting and Caring for Others,2.17
20768,13-1031.02,"Cramped Work Space, Awkward Positions",1.45
4077,13-1031.02,Fine Arts,0.24
6391,13-1031.02,Finger Dexterity,2.38
6389,13-1031.02,Manual Dexterity,1.25
4297,13-1031.02,Negotiation,3.75
6355,13-1031.02,Originality,2.25
4295,13-1031.02,Persuasion,3.0
4291,13-1031.02,Social Perceptiveness,3.12
5140,13-1032.00,Assisting and Caring for Others,3.35
21106,13-1032.00,"Cramped Work Space, Awkward Positions",2.62
4143,13-1032.00,Fine Arts,0.0
6495,13-1032.00,Finger Dexterity,1.5
6493,13-1032.00,Manual Dexterity,1.38
4367,13-1032.00,Negotiation,2.88
6459,13-1032.00,Originality,2.62
4365,13-1032.00,Persuasion,2.88
4361,13-1032.00,Social Perceptiveness,3.0
5222,13-1041.01,Assisting and Caring for Others,1.9
21444,13-1041.01,"Cramped Work Space, Awkward Positions",2.24
4209,13-1041.01,Fine Arts,0.43
6599,13-1041.01,Finger Dexterity,2.75
6597,13-1041.01,Manual Dexterity,2.0
4437,13-1041.01,Negotiation,3.0
6563,13-1041.01,Originality,2.88
4435,13-1041.01,Persuasion,3.12
4431,13-1041.01,Social Perceptiveness,3.5
5304,13-1041.02,Assisting and Caring for Others,2.67
21782,13-1041.02,"Cramped Work Space, Awkward Positions",2.8
4275,13-1041.02,Fine Arts,0.17
6703,13-1041.02,Finger Dexterity,2.0
6701,13-1041.02,Manual Dexterity,1.62
4507,13-1041.02,Negotiation,3.0
6667,13-1041.02,Originality,3.0
4505,13-1041.02,Persuasion,3.12
4501,13-1041.02,Social Perceptiveness,3.62
5386,13-1041.03,Assisting and Caring for Others,2.49
22120,13-1041.03,"Cramped Work Space, Awkward Positions",1.1
4341,13-1041.03,Fine Arts,0.13
6807,13-1041.03,Finger Dexterity,1.75
6805,13-1041.03,Manual Dexterity,0.0
4577,13-1041.03,Negotiation,3.62
6771,13-1041.03,Originality,3.5
4575,13-1041.03,Persuasion,4.0
4571,13-1041.03,Social Perceptiveness,4.12
5468,13-1041.04,Assisting and Caring for Others,2.1
22458,13-1041.04,"Cramped Work Space, Awkward Positions",1.79
4407,13-1041.04,Fine Arts,0.53
6911,13-1041.04,Finger Dexterity,2.38
6909,13-1041.04,Manual Dexterity,2.12
4647,13-1041.04,Negotiation,3.25
6875,13-1041.04,Originality,3.0
4645,13-1041.04,Persuasion,3.5
4641,13-1041.04,Social Perceptiveness,3.25
5550,13-1041.06,Assisting and Caring for Others,3.87
22796,13-1041.06,"Cramped Work Space, Awkward Positions",2.94
4473,13-1041.06,Fine Arts,0.42
7015,13-1041.06,Finger Dexterity,3.12
7013,13-1041.06,Manual Dexterity,2.75
4717,13-1041.06,Negotiation,2.88
6979,13-1041.06,Originality,3.0
4715,13-1041.06,Persuasion,3.0
